species,antibiotic_a,antibiotic_b,n_jointly_labeled,value_agreement,missingness_agreement
ecoli,Ciprofloxacin,Cefepime,4982,0.7970694500200722,0.9989071038251366
ecoli,Ciprofloxacin,Cotrimoxazole,4974,0.6891837555287494,0.9979508196721312
ecoli,Ciprofloxacin,Ceftazidime,4934,0.798946088366437,0.9927595628415301
ecoli,Ciprofloxacin,Amikacin,4934,0.7430077016619375,0.9927595628415301
ecoli,Ciprofloxacin,Levofloxacin,4931,1.0,0.9924863387978142
ecoli,Ciprofloxacin,Imipenem,4934,0.6947709768950142,0.992896174863388
ecoli,Ciprofloxacin,Tobramycin,4934,0.7622618565058776,0.9927595628415301
ecoli,Ciprofloxacin,Ceftriaxone,4984,0.8152086677367576,0.9991803278688525
ecoli,Ciprofloxacin,Colistin,4933,0.6934928035678086,0.9926229508196721
ecoli,Ciprofloxacin,Amoxicillin-Clavulanic acid,4977,0.7096644564998995,0.9982240437158469
ecoli,Ciprofloxacin,Ampicillin-Amoxicillin,4929,0.6518563603164942,0.9920765027322405
ecoli,Ciprofloxacin,Ertapenem,4982,0.6959052589321557,0.9989071038251366
ecoli,Ciprofloxacin,Cefpodoxime,2085,0.7769784172661871,0.603688524590164
ecoli,Ciprofloxacin,Norfloxacin,1501,1.0,0.5239071038251366
ecoli,Ciprofloxacin,Fosfomycin-Trometamol,1503,0.7272122421823021,0.5241803278688525
ecoli,Ciprofloxacin,Nitrofurantoin,1499,0.7351567711807871,0.5236338797814207
ecoli,Cefepime,Cotrimoxazole,4973,0.7054092097325558,0.9976775956284153
ecoli,Cefepime,Ceftazidime,4935,0.9475177304964539,0.9930327868852459
ecoli,Cefepime,Amikacin,4935,0.8356636271529888,0.9930327868852459
ecoli,Cefepime,Levofloxacin,4931,0.7998377611032245,0.9924863387978142
ecoli,Cefepime,Imipenem,4934,0.8121199837859748,0.992896174863388
ecoli,Cefepime,Tobramycin,4935,0.8350557244174266,0.9930327868852459
ecoli,Cefepime,Ceftriaxone,4986,0.9530685920577617,0.9997267759562841
ecoli,Cefepime,Colistin,4934,0.8080664775030402,0.992896174863388
ecoli,Cefepime,Amoxicillin-Clavulanic acid,4977,0.7554751858549327,0.9982240437158469
ecoli,Cefepime,Ampicillin-Amoxicillin,4930,0.5849898580121704,0.9923497267759562
ecoli,Cefepime,Ertapenem,4986,0.8160850381066987,1.0
ecoli,Cefepime,Cefpodoxime,2083,0.8670187229956793,0.6031420765027322
ecoli,Cefepime,Norfloxacin,1501,0.7921385742838108,0.5239071038251366
ecoli,Cefepime,Fosfomycin-Trometamol,1503,0.886892880904857,0.5241803278688525
ecoli,Cefepime,Nitrofurantoin,1499,0.904603068712475,0.5236338797814207
ecoli,Cotrimoxazole,Ceftazidime,4934,0.6965950547223348,0.9939890710382514
ecoli,Cotrimoxazole,Amikacin,4934,0.6795703283340089,0.9939890710382514
ecoli,Cotrimoxazole,Levofloxacin,4931,0.6905293044007301,0.9937158469945355
ecoli,Cotrimoxazole,Imipenem,4934,0.6601134981759221,0.9941256830601093
ecoli,Cotrimoxazole,Tobramycin,4934,0.705715443858938,0.9939890710382514
ecoli,Cotrimoxazole,Ceftriaxone,4975,0.7091457286432161,0.9979508196721312
ecoli,Cotrimoxazole,Colistin,4933,0.6592337320089195,0.9938524590163934
ecoli,Cotrimoxazole,Amoxicillin-Clavulanic acid,4968,0.6751207729468599,0.9969945355191256
ecoli,Cotrimoxazole,Ampicillin-Amoxicillin,4929,0.6833029011969973,0.9933060109289618
ecoli,Cotrimoxazole,Ertapenem,4973,0.6621757490448421,0.9976775956284153
ecoli,Cotrimoxazole,Cefpodoxime,2085,0.6805755395683454,0.6049180327868853
ecoli,Cotrimoxazole,Norfloxacin,1501,0.7175216522318454,0.5251366120218579
ecoli,Cotrimoxazole,Fosfomycin-Trometamol,1503,0.6979374584165003,0.5254098360655738
ecoli,Cotrimoxazole,Nitrofurantoin,1499,0.7098065376917946,0.524863387978142
ecoli,Ceftazidime,Amikacin,4935,0.820871327254306,1.0
ecoli,Ceftazidime,Levofloxacin,4931,0.7988237679983776,0.9994535519125683
ecoli,Ceftazidime,Imipenem,4934,0.8013781921361978,0.9998633879781421
ecoli,Ceftazidime,Tobramycin,4935,0.8125633232016211,1.0
ecoli,Ceftazidime,Ceftriaxone,4935,0.955015197568389,0.9927595628415301
ecoli,Ceftazidime,Colistin,4934,0.7985407377381435,0.9998633879781421
ecoli,Ceftazidime,Amoxicillin-Clavulanic acid,4928,0.7575081168831169,0.9918032786885246
ecoli,Ceftazidime,Ampicillin-Amoxicillin,4930,0.5949290060851927,0.9993169398907104
ecoli,Ceftazidime,Ertapenem,4935,0.805065856129686,0.9930327868852459
ecoli,Ceftazidime,Cefpodoxime,2081,0.8846708313310908,0.6095628415300547
ecoli,Ceftazidime,Norfloxacin,1501,0.8014656895403065,0.5308743169398907
ecoli,Ceftazidime,Fosfomycin-Trometamol,1501,0.8654230512991339,0.5306010928961749
ecoli,Ceftazidime,Nitrofurantoin,1499,0.8832555036691128,0.5306010928961749
ecoli,Amikacin,Levofloxacin,4931,0.7428513486108295,0.9994535519125683
ecoli,Amikacin,Imipenem,4934,0.9177138224564249,0.9998633879781421
ecoli,Amikacin,Tobramycin,4935,0.9418439716312057,1.0
ecoli,Amikacin,Ceftriaxone,4935,0.8156028368794326,0.9927595628415301
ecoli,Amikacin,Colistin,4934,0.9156870693149575,0.9998633879781421
ecoli,Amikacin,Amoxicillin-Clavulanic acid,4928,0.7765827922077922,0.9918032786885246
ecoli,Amikacin,Ampicillin-Amoxicillin,4930,0.47119675456389454,0.9993169398907104
ecoli,Amikacin,Ertapenem,4935,0.9124620060790274,0.9930327868852459
ecoli,Amikacin,Cefpodoxime,2081,0.6554541086016338,0.6095628415300547
ecoli,Amikacin,Norfloxacin,1501,0.7688207861425717,0.5308743169398907
ecoli,Amikacin,Fosfomycin-Trometamol,1501,0.8987341772151899,0.5306010928961749
ecoli,Amikacin,Nitrofurantoin,1499,0.9166110740493663,0.5306010928961749
ecoli,Levofloxacin,Imipenem,4931,0.6949908740620564,0.9995901639344262
ecoli,Levofloxacin,Tobramycin,4931,0.7621172176029203,0.9994535519125683
ecoli,Levofloxacin,Ceftriaxone,4931,0.8182924356114378,0.9922131147540983
ecoli,Levofloxacin,Colistin,4930,0.6933062880324543,0.9993169398907104
ecoli,Levofloxacin,Amoxicillin-Clavulanic acid,4924,0.7110073111291633,0.9912568306010929
ecoli,Levofloxacin,Ampicillin-Amoxicillin,4926,0.6522533495736906,0.9987704918032787
ecoli,Levofloxacin,Ertapenem,4931,0.6978300547556276,0.9924863387978142
ecoli,Levofloxacin,Cefpodoxime,2078,0.7776708373435997,0.6092896174863388
ecoli,Levofloxacin,Norfloxacin,1501,1.0,0.5314207650273224
ecoli,Levofloxacin,Fosfomycin-Trometamol,1498,0.7263017356475301,0.530327868852459
ecoli,Levofloxacin,Nitrofurantoin,1496,0.7346256684491979,0.530327868852459
ecoli,Imipenem,Tobramycin,4934,0.8595460072963113,0.9998633879781421
ecoli,Imipenem,Ceftriaxone,4934,0.7762464531820025,0.9926229508196721
ecoli,Imipenem,Colistin,4933,0.9922967768092439,0.9997267759562841
ecoli,Imipenem,Amoxicillin-Clavulanic acid,4927,0.7333062715648467,0.9916666666666667
ecoli,Imipenem,Ampicillin-Amoxicillin,4929,0.39906674781903023,0.9991803278688525
ecoli,Imipenem,Ertapenem,4934,0.992298338062424,0.992896174863388
ecoli,Imipenem,Cefpodoxime,2081,0.5766458433445459,0.6096994535519126
ecoli,Imipenem,Norfloxacin,1501,0.7315123251165889,0.5310109289617486
ecoli,Imipenem,Fosfomycin-Trometamol,1501,0.9733510992671552,0.5307377049180327
ecoli,Imipenem,Nitrofurantoin,1499,0.9873248832555037,0.5307377049180327
ecoli,Tobramycin,Ceftriaxone,4935,0.8186423505572442,0.9927595628415301
ecoli,Tobramycin,Colistin,4934,0.8587353060397244,0.9998633879781421
ecoli,Tobramycin,Amoxicillin-Clavulanic acid,4928,0.7824675324675324,0.9918032786885246
ecoli,Tobramycin,Ampicillin-Amoxicillin,4930,0.527789046653144,0.9993169398907104
ecoli,Tobramycin,Ertapenem,4935,0.8555217831813576,0.9930327868852459
ecoli,Tobramycin,Cefpodoxime,2081,0.695338779432965,0.6095628415300547
ecoli,Tobramycin,Norfloxacin,1501,0.7794803464357095,0.5308743169398907
ecoli,Tobramycin,Fosfomycin-Trometamol,1501,0.8694203864090606,0.5306010928961749
ecoli,Tobramycin,Nitrofurantoin,1499,0.8845897264843229,0.5306010928961749
ecoli,Ceftriaxone,Colistin,4934,0.7746250506688286,0.9926229508196721
ecoli,Ceftriaxone,Amoxicillin-Clavulanic acid,4979,0.74994978911428,0.9984972677595628
ecoli,Ceftriaxone,Ampicillin-Amoxicillin,4930,0.6212981744421907,0.9920765027322405
ecoli,Ceftriaxone,Ertapenem,4986,0.7795828319294024,0.9997267759562841
ecoli,Ceftriaxone,Cefpodoxime,2085,0.9314148681055155,0.6034153005464481
ecoli,Ceftriaxone,Norfloxacin,1501,0.810126582278481,0.5236338797814207
ecoli,Ceftriaxone,Fosfomycin-Trometamol,1503,0.8569527611443779,0.5239071038251366
ecoli,Ceftriaxone,Nitrofurantoin,1499,0.8745830553702468,0.523360655737705
ecoli,Colistin,Amoxicillin-Clavulanic acid,4927,0.7310736756647047,0.9916666666666667
ecoli,Colistin,Ampicillin-Amoxicillin,4929,0.3976465814566849,0.9991803278688525
ecoli,Colistin,Ertapenem,4934,0.9878394811511958,0.992896174863388
ecoli,Colistin,Cefpodoxime,2080,0.5735576923076923,0.6094262295081967
ecoli,Colistin,Norfloxacin,1500,0.7333333333333333,0.5307377049180327
ecoli,Colistin,Fosfomycin-Trometamol,1500,0.9646666666666667,0.530464480874317
ecoli,Colistin,Nitrofurantoin,1498,0.9786381842456608,0.530464480874317
ecoli,Amoxicillin-Clavulanic acid,Ampicillin-Amoxicillin,4928,0.6651785714285714,0.9924863387978142
ecoli,Amoxicillin-Clavulanic acid,Ertapenem,4977,0.7400040184850312,0.9982240437158469
ecoli,Amoxicillin-Clavulanic acid,Cefpodoxime,2083,0.7402784445511282,0.6038251366120219
ecoli,Amoxicillin-Clavulanic acid,Norfloxacin,1499,0.7284856571047365,0.5240437158469945
ecoli,Amoxicillin-Clavulanic acid,Fosfomycin-Trometamol,1501,0.7908061292471685,0.5243169398907104
ecoli,Amoxicillin-Clavulanic acid,Nitrofurantoin,1497,0.7989311957247829,0.5237704918032787
ecoli,Ampicillin-Amoxicillin,Ertapenem,4930,0.40385395537525354,0.9923497267759562
ecoli,Ampicillin-Amoxicillin,Cefpodoxime,2081,0.7481979817395483,0.6102459016393442
ecoli,Ampicillin-Amoxicillin,Norfloxacin,1501,0.6855429713524317,0.5315573770491804
ecoli,Ampicillin-Amoxicillin,Fosfomycin-Trometamol,1501,0.5009993337774816,0.5312841530054645
ecoli,Ampicillin-Amoxicillin,Nitrofurantoin,1499,0.5010006671114076,0.5312841530054645
ecoli,Ertapenem,Cefpodoxime,2083,0.585693710993759,0.6031420765027322
ecoli,Ertapenem,Norfloxacin,1501,0.7315123251165889,0.5239071038251366
ecoli,Ertapenem,Fosfomycin-Trometamol,1503,0.9747172322022621,0.5241803278688525
ecoli,Ertapenem,Nitrofurantoin,1499,0.9886591060707138,0.5236338797814207
ecoli,Cefpodoxime,Norfloxacin,1500,0.7973333333333333,0.9199453551912569
ecoli,Cefpodoxime,Fosfomycin-Trometamol,1500,0.7913333333333333,0.919672131147541
ecoli,Cefpodoxime,Nitrofurantoin,1498,0.8010680907877169,0.919672131147541
ecoli,Norfloxacin,Fosfomycin-Trometamol,1496,0.7259358288770054,0.9983606557377049
ecoli,Norfloxacin,Nitrofurantoin,1496,0.7346256684491979,0.9989071038251366
ecoli,Fosfomycin-Trometamol,Nitrofurantoin,1499,0.9646430953969313,0.9994535519125683
saureus,Piperacillin-Tazobactam,Meropenem,3640,1.0,0.9995710609093509
saureus,Piperacillin-Tazobactam,Ciprofloxacin,3638,0.8092358438702584,0.9781241063768945
saureus,Piperacillin-Tazobactam,Cefepime,3640,1.0,1.0
saureus,Piperacillin-Tazobactam,Cotrimoxazole,3640,0.8052197802197802,0.9812696597083215
saureus,Piperacillin-Tazobactam,Imipenem,3640,1.0,1.0
saureus,Piperacillin-Tazobactam,Ceftriaxone,3640,1.0,1.0
saureus,Piperacillin-Tazobactam,Clindamycin,3631,0.7648030845497108,0.9981412639405205
saureus,Piperacillin-Tazobactam,Amoxicillin-Clavulanic acid,3640,1.0,1.0
saureus,Piperacillin-Tazobactam,Vancomycin,3640,0.8043956043956044,0.9784100657706606
saureus,Piperacillin-Tazobactam,Penicillin,3634,0.4551458447991194,0.9991421218187018
saureus,Piperacillin-Tazobactam,Erythromycin,3640,0.7664835164835165,1.0
saureus,Piperacillin-Tazobactam,Tetracycline,3640,0.8258241758241758,0.9995710609093509
saureus,Piperacillin-Tazobactam,Ampicillin-Amoxicillin,3637,0.45477041517734396,0.9995710609093509
saureus,Piperacillin-Tazobactam,Linezolid,3639,0.804341852157186,0.999857020303117
saureus,Piperacillin-Tazobactam,Teicoplanin,3631,0.8039107683833655,0.9987131827280527
saureus,Piperacillin-Tazobactam,Tigecycline,3640,0.8041208791208792,1.0
saureus,Piperacillin-Tazobactam,Daptomycin,3640,0.8002747252747253,0.9795539033457249
saureus,Piperacillin-Tazobactam,Gentamicin,3640,0.8164835164835165,0.9995710609093509
saureus,Piperacillin-Tazobactam,Cefuroxime,3640,1.0,1.0
saureus,Piperacillin-Tazobactam,Oxacillin,3640,0.9975274725274725,0.9784100657706606
saureus,Piperacillin-Tazobactam,Cefazolin,3640,1.0,1.0
saureus,Piperacillin-Tazobactam,Rifampicin,3640,0.8060439560439561,0.9789819845581927
saureus,Piperacillin-Tazobactam,Fusidic acid,3640,0.792032967032967,0.9789819845581927
saureus,Piperacillin-Tazobactam,Mupirocin,3632,0.8058920704845814,0.9982842436374035
saureus,Meropenem,Ciprofloxacin,3641,0.8085690744301016,0.9785530454675436
saureus,Meropenem,Cefepime,3640,1.0,0.9995710609093509
saureus,Meropenem,Cotrimoxazole,3643,0.8053801811693659,0.9816985987989706
saureus,Meropenem,Imipenem,3640,1.0,0.9995710609093509
saureus,Meropenem,Ceftriaxone,3640,1.0,0.9995710609093509
saureus,Meropenem,Clindamycin,3631,0.7648030845497108,0.9977123248498713
saureus,Meropenem,Amoxicillin-Clavulanic acid,3640,1.0,0.9995710609093509
saureus,Meropenem,Vancomycin,3643,0.8045566840516059,0.9788390048613097
saureus,Meropenem,Penicillin,3634,0.4551458447991194,0.9987131827280527
saureus,Meropenem,Erythromycin,3640,0.7664835164835165,0.9995710609093509
saureus,Meropenem,Tetracycline,3640,0.8258241758241758,0.9991421218187018
saureus,Meropenem,Ampicillin-Amoxicillin,3637,0.45477041517734396,0.9991421218187018
saureus,Meropenem,Linezolid,3639,0.804341852157186,0.9994280812124678
saureus,Meropenem,Teicoplanin,3631,0.8039107683833655,0.9982842436374035
saureus,Meropenem,Tigecycline,3640,0.8041208791208792,0.9995710609093509
saureus,Meropenem,Daptomycin,3643,0.8004391984628054,0.979982842436374
saureus,Meropenem,Gentamicin,3640,0.8164835164835165,0.9991421218187018
saureus,Meropenem,Cefuroxime,3640,1.0,0.9995710609093509
saureus,Meropenem,Oxacillin,3643,0.9975295086467197,0.9788390048613097
saureus,Meropenem,Cefazolin,3640,1.0,0.9995710609093509
saureus,Meropenem,Rifampicin,3643,0.806203678287126,0.9794109236488419
saureus,Meropenem,Fusidic acid,3643,0.7922042272852045,0.9794109236488419
saureus,Meropenem,Mupirocin,3632,0.8058920704845814,0.9978553045467543
saureus,Ciprofloxacin,Cefepime,3638,0.8092358438702584,0.9781241063768945
saureus,Ciprofloxacin,Cotrimoxazole,3769,0.8224993366940833,0.996854446668573
saureus,Ciprofloxacin,Imipenem,3638,0.8092358438702584,0.9781241063768945
saureus,Ciprofloxacin,Ceftriaxone,3638,0.8092358438702584,0.9781241063768945
saureus,Ciprofloxacin,Clindamycin,3633,0.7756674924304983,0.9774092078924793
saureus,Ciprofloxacin,Amoxicillin-Clavulanic acid,3638,0.8092358438702584,0.9781241063768945
saureus,Ciprofloxacin,Vancomycin,3789,0.828978622327791,0.9997140406062339
saureus,Ciprofloxacin,Penicillin,3632,0.3827092511013216,0.9772662281955963
saureus,Ciprofloxacin,Erythromycin,3638,0.7778999450247389,0.9781241063768945
saureus,Ciprofloxacin,Tetracycline,3641,0.7857731392474595,0.9785530454675436
saureus,Ciprofloxacin,Ampicillin-Amoxicillin,3635,0.38239339752407153,0.9776951672862454
saureus,Ciprofloxacin,Linezolid,3637,0.8386032444322243,0.9779811266800115
saureus,Ciprofloxacin,Teicoplanin,3629,0.8382474510884541,0.976837289104947
saureus,Ciprofloxacin,Tigecycline,3638,0.8380978559648158,0.9781241063768945
saureus,Ciprofloxacin,Daptomycin,3781,0.8267654059772547,0.9985702030311696
saureus,Ciprofloxacin,Gentamicin,3641,0.8396045042570722,0.9785530454675436
saureus,Ciprofloxacin,Cefuroxime,3638,0.8092358438702584,0.9781241063768945
saureus,Ciprofloxacin,Oxacillin,3789,0.7986276062285563,0.9997140406062339
saureus,Ciprofloxacin,Cefazolin,3638,0.8092358438702584,0.9781241063768945
saureus,Ciprofloxacin,Rifampicin,3785,0.8314398943196829,0.9991421218187018
saureus,Ciprofloxacin,Fusidic acid,3785,0.7986789960369881,0.9991421218187018
saureus,Ciprofloxacin,Mupirocin,3633,0.841178089733003,0.9772662281955963
saureus,Cefepime,Cotrimoxazole,3640,0.8052197802197802,0.9812696597083215
saureus,Cefepime,Imipenem,3640,1.0,1.0
saureus,Cefepime,Ceftriaxone,3640,1.0,1.0
saureus,Cefepime,Clindamycin,3631,0.7648030845497108,0.9981412639405205
saureus,Cefepime,Amoxicillin-Clavulanic acid,3640,1.0,1.0
saureus,Cefepime,Vancomycin,3640,0.8043956043956044,0.9784100657706606
saureus,Cefepime,Penicillin,3634,0.4551458447991194,0.9991421218187018
saureus,Cefepime,Erythromycin,3640,0.7664835164835165,1.0
saureus,Cefepime,Tetracycline,3640,0.8258241758241758,0.9995710609093509
saureus,Cefepime,Ampicillin-Amoxicillin,3637,0.45477041517734396,0.9995710609093509
saureus,Cefepime,Linezolid,3639,0.804341852157186,0.999857020303117
saureus,Cefepime,Teicoplanin,3631,0.8039107683833655,0.9987131827280527
saureus,Cefepime,Tigecycline,3640,0.8041208791208792,1.0
saureus,Cefepime,Daptomycin,3640,0.8002747252747253,0.9795539033457249
saureus,Cefepime,Gentamicin,3640,0.8164835164835165,0.9995710609093509
saureus,Cefepime,Cefuroxime,3640,1.0,1.0
saureus,Cefepime,Oxacillin,3640,0.9975274725274725,0.9784100657706606
saureus,Cefepime,Cefazolin,3640,1.0,1.0
saureus,Cefepime,Rifampicin,3640,0.8060439560439561,0.9789819845581927
saureus,Cefepime,Fusidic acid,3640,0.792032967032967,0.9789819845581927
saureus,Cefepime,Mupirocin,3632,0.8058920704845814,0.9982842436374035
saureus,Cotrimoxazole,Imipenem,3640,0.8052197802197802,0.9812696597083215
saureus,Cotrimoxazole,Ceftriaxone,3640,0.8052197802197802,0.9812696597083215
saureus,Cotrimoxazole,Clindamycin,3635,0.8233837689133425,0.9805547612239062
saureus,Cotrimoxazole,Amoxicillin-Clavulanic acid,3640,0.8052197802197802,0.9812696597083215
saureus,Cotrimoxazole,Vancomycin,3771,0.9549191195969239,0.9971404060623391
saureus,Cotrimoxazole,Penicillin,3634,0.2892129884424876,0.9804117815270231
saureus,Cotrimoxazole,Erythromycin,3640,0.7958791208791208,0.9812696597083215
saureus,Cotrimoxazole,Tetracycline,3643,0.899258852594016,0.9816985987989706
saureus,Cotrimoxazole,Ampicillin-Amoxicillin,3637,0.2889744294748419,0.9808407206176722
saureus,Cotrimoxazole,Linezolid,3639,0.966199505358615,0.9811266800114383
saureus,Cotrimoxazole,Teicoplanin,3631,0.9647480033048746,0.979982842436374
saureus,Cotrimoxazole,Tigecycline,3640,0.9659340659340659,0.9812696597083215
saureus,Cotrimoxazole,Daptomycin,3763,0.9471166622375764,0.9959965684872748
saureus,Cotrimoxazole,Gentamicin,3643,0.953060664287675,0.9816985987989706
saureus,Cotrimoxazole,Cefuroxime,3640,0.8052197802197802,0.9812696597083215
saureus,Cotrimoxazole,Oxacillin,3771,0.7976664014850172,0.9971404060623391
saureus,Cotrimoxazole,Cefazolin,3640,0.8052197802197802,0.9812696597083215
saureus,Cotrimoxazole,Rifampicin,3767,0.9477037430315901,0.996568487274807
saureus,Cotrimoxazole,Fusidic acid,3767,0.9004512874966817,0.996568487274807
saureus,Cotrimoxazole,Mupirocin,3635,0.9606602475928473,0.9804117815270231
saureus,Imipenem,Ceftriaxone,3640,1.0,1.0
saureus,Imipenem,Clindamycin,3631,0.7648030845497108,0.9981412639405205
saureus,Imipenem,Amoxicillin-Clavulanic acid,3640,1.0,1.0
saureus,Imipenem,Vancomycin,3640,0.8043956043956044,0.9784100657706606
saureus,Imipenem,Penicillin,3634,0.4551458447991194,0.9991421218187018
saureus,Imipenem,Erythromycin,3640,0.7664835164835165,1.0
saureus,Imipenem,Tetracycline,3640,0.8258241758241758,0.9995710609093509
saureus,Imipenem,Ampicillin-Amoxicillin,3637,0.45477041517734396,0.9995710609093509
saureus,Imipenem,Linezolid,3639,0.804341852157186,0.999857020303117
saureus,Imipenem,Teicoplanin,3631,0.8039107683833655,0.9987131827280527
saureus,Imipenem,Tigecycline,3640,0.8041208791208792,1.0
saureus,Imipenem,Daptomycin,3640,0.8002747252747253,0.9795539033457249
saureus,Imipenem,Gentamicin,3640,0.8164835164835165,0.9995710609093509
saureus,Imipenem,Cefuroxime,3640,1.0,1.0
saureus,Imipenem,Oxacillin,3640,0.9975274725274725,0.9784100657706606
saureus,Imipenem,Cefazolin,3640,1.0,1.0
saureus,Imipenem,Rifampicin,3640,0.8060439560439561,0.9789819845581927
saureus,Imipenem,Fusidic acid,3640,0.792032967032967,0.9789819845581927
saureus,Imipenem,Mupirocin,3632,0.8058920704845814,0.9982842436374035
saureus,Ceftriaxone,Clindamycin,3631,0.7648030845497108,0.9981412639405205
saureus,Ceftriaxone,Amoxicillin-Clavulanic acid,3640,1.0,1.0
saureus,Ceftriaxone,Vancomycin,3640,0.8043956043956044,0.9784100657706606
saureus,Ceftriaxone,Penicillin,3634,0.4551458447991194,0.9991421218187018
saureus,Ceftriaxone,Erythromycin,3640,0.7664835164835165,1.0
saureus,Ceftriaxone,Tetracycline,3640,0.8258241758241758,0.9995710609093509
saureus,Ceftriaxone,Ampicillin-Amoxicillin,3637,0.45477041517734396,0.9995710609093509
saureus,Ceftriaxone,Linezolid,3639,0.804341852157186,0.999857020303117
saureus,Ceftriaxone,Teicoplanin,3631,0.8039107683833655,0.9987131827280527
saureus,Ceftriaxone,Tigecycline,3640,0.8041208791208792,1.0
saureus,Ceftriaxone,Daptomycin,3640,0.8002747252747253,0.9795539033457249
saureus,Ceftriaxone,Gentamicin,3640,0.8164835164835165,0.9995710609093509
saureus,Ceftriaxone,Cefuroxime,3640,1.0,1.0
saureus,Ceftriaxone,Oxacillin,3640,0.9975274725274725,0.9784100657706606
saureus,Ceftriaxone,Cefazolin,3640,1.0,1.0
saureus,Ceftriaxone,Rifampicin,3640,0.8060439560439561,0.9789819845581927
saureus,Ceftriaxone,Fusidic acid,3640,0.792032967032967,0.9789819845581927
saureus,Ceftriaxone,Mupirocin,3632,0.8058920704845814,0.9982842436374035
saureus,Clindamycin,Amoxicillin-Clavulanic acid,3631,0.7648030845497108,0.9981412639405205
saureus,Clindamycin,Vancomycin,3635,0.8407152682255846,0.9776951672862454
saureus,Clindamycin,Penicillin,3628,0.35694597574421166,0.9981412639405205
saureus,Clindamycin,Erythromycin,3631,0.9316992564031947,0.9981412639405205
saureus,Clindamycin,Tetracycline,3631,0.8432938584412007,0.9977123248498713
saureus,Clindamycin,Ampicillin-Amoxicillin,3631,0.3566510603139631,0.9985702030311696
saureus,Clindamycin,Linezolid,3630,0.8415977961432507,0.9979982842436375
saureus,Clindamycin,Teicoplanin,3625,0.8416551724137931,0.9977123248498713
saureus,Clindamycin,Tigecycline,3631,0.8413660148719361,0.9981412639405205
saureus,Clindamycin,Daptomycin,3635,0.8354883081155433,0.9788390048613097
saureus,Clindamycin,Gentamicin,3631,0.8383365464059488,0.9977123248498713
saureus,Clindamycin,Cefuroxime,3631,0.7648030845497108,0.9981412639405205
