Ciprofloxacin,Cotrimoxazole,Ceftriaxone,Amoxicillin-Clavulanic acid,Ampicillin-Amoxicillin
0.98848534,0.79988647,0.011247927,0.010275011,0.87774515
0.19083597,0.04502571,0.012189499,0.0070497654,0.85944825
0.0005550859,0.07075937,0.0010455616,0.013477908,0.20003332
0.01406493,0.051384,0.18727662,0.004417168,0.96178997
0.0072060726,0.08229113,0.14670658,0.0055228285,0.9570631
0.007912616,0.17167628,0.001269498,0.037706338,0.87485707
0.015567059,0.031324584,0.0129965525,0.022230579,0.50790775
0.054128624,0.29968643,0.014070618,0.09496249,0.96322644
0.23478903,0.743761,0.06477263,0.107606076,0.98252696
0.008763794,0.22658794,0.0016423966,0.0033745398,0.68992376
0.015786938,0.30043912,0.011085226,0.01440204,0.95596975
0.9999199,0.59787637,0.99985147,0.6249788,0.9997625
0.95403713,0.9523838,0.79176956,0.026131216,0.999466
0.24909681,0.5000206,0.9926081,0.17514263,0.9904197
0.999808,0.06718195,0.9980981,0.041036952,0.9989698
0.011528753,0.004063988,0.0017683466,0.015754284,0.7347429
0.0014985437,0.0021113046,0.00034689542,0.00036595718,0.19532478
0.40218216,0.8041865,0.0013375506,0.07903323,0.7382299
0.029125633,0.019520411,0.00014776307,0.0009965218,0.28413147
0.0010834659,0.026336163,0.0023735082,0.0043457006,0.10979719
0.05702744,0.61921,0.061296225,0.009946434,0.95326436
0.15734984,0.22139208,0.040308602,0.069934525,0.9796038
0.04762426,0.012883029,0.008786825,0.0041544107,0.86036265
0.012078488,0.06772566,0.020032013,0.005955141,0.5469789
0.13622753,0.01622458,0.03172277,0.010811246,0.7500007
0.067156,0.0047284635,0.037012804,0.0019392153,0.80015033
0.0011052613,0.016864635,0.0016814306,0.0037569678,0.42781633
0.0010397007,0.22931759,0.0015364329,0.0014771761,0.77003825
0.0053002355,0.6870378,0.00041521364,0.05978681,0.6658828
0.0098642325,0.0009997135,0.023658082,0.0036851242,0.8752386
0.04728768,0.5467861,0.053867403,0.11929092,0.9436583
0.055905417,0.16135895,0.0027930082,0.00187447,0.52400196
0.29521126,0.028313778,0.012535166,0.10487543,0.18002465
0.0033558845,0.3543689,0.0034164055,0.0010642374,0.010541235
0.99909925,0.7086218,0.9991416,0.05923576,0.9877257
0.9995154,0.14024317,0.9909161,0.115729965,0.9481638
0.11343383,0.44995025,0.017448558,0.016887927,0.85195714
0.0007702242,0.03644354,0.00067803473,0.0008785031,0.31550533
0.2503738,0.81060135,0.09544519,0.04002698,0.8204601
0.38392094,0.49842605,0.12006993,0.03665394,0.960023
0.03147745,0.021210065,0.016881706,0.012983885,0.62602335
0.001908899,0.0044542183,0.00041292916,0.004116584,0.35359696
0.03314538,0.030346027,0.0012658203,0.02324338,0.5572514
0.014151642,0.6909317,0.002502856,0.028765239,0.79984987
0.023749433,0.13319513,0.0016977093,0.0010179859,0.17242566
0.046580795,0.0025451437,0.0077890484,0.004056691,0.18762541
0.0055400385,0.007275554,0.0003129516,0.65711963,0.7941338
0.91590106,0.28136197,0.0010662484,0.04214945,0.9849377
0.019983578,0.058007445,0.0007570249,0.0045451,0.42536741
0.4076825,0.04491222,0.00060578727,0.1275301,0.9916128
0.011252924,0.24180037,0.00026355198,0.1221388,0.49171692
0.08200471,0.27308828,0.04191321,0.101761326,0.8772258
0.046593938,0.508982,0.009315341,0.03863448,0.5147033
0.0017992252,0.079112135,0.0043528923,0.037261397,0.39996764
0.95057803,0.19147709,0.9174316,0.025152903,0.9650844
0.0013209513,0.008042294,0.0010805133,0.009015047,0.058785643
0.001715845,0.014454616,0.00039780576,0.020299317,0.78405935
0.0629557,0.0077627106,0.00080652005,0.0073006176,0.91613704
0.122734524,0.07791255,0.007926774,0.03343152,0.6076267
0.98913455,0.12701905,0.033709835,0.106423624,0.9745419
0.00035069007,0.0024353815,0.0012355956,0.113623545,0.59592897
0.0013035975,0.32493478,0.0014935732,0.021139588,0.41068125
0.0004447552,0.13130504,0.004175327,0.011865844,0.24289072
0.20614724,0.7367605,0.23487157,0.06606434,0.95547694
0.005114355,0.6151801,0.0020745697,0.0031383275,0.96866053
0.0077484874,0.04211714,7.2889845e-05,0.005221924,0.19009134
0.0022599495,0.033864718,0.003719665,0.0038287404,0.070446834
0.026241565,0.8023558,0.06267468,0.006479976,0.9344455
0.021947645,0.123330005,0.029679094,0.033235356,0.083653666
0.008674895,0.01893101,0.0040250923,0.023098316,0.50675476
0.0002368296,0.0019264907,0.0011058116,0.0025825691,0.3868933
0.055217844,0.65087277,0.0333842,0.16170236,0.56335324
0.0034109857,0.36073208,0.017312009,0.0005786656,0.98346496
0.002516171,0.010494472,0.00060496794,0.0040843966,0.33667058
0.008688022,0.08576738,0.010963464,0.034547832,0.62686056
0.0034713221,0.06312637,0.00024192956,0.13003139,0.7370254
0.04561432,0.5969135,0.084419735,0.02792678,0.8569853
0.40577734,0.3651718,0.14853302,0.01403217,0.93687624
0.002640039,0.07897326,0.0019648662,0.0048071058,0.5245732
0.03233922,0.6741678,0.03861184,0.12791264,0.8158997
0.004315415,0.014496351,0.0011880152,0.011777388,0.75131005
0.005752534,0.054531235,0.008279072,0.0012067978,0.3561565
0.0203548,0.01591417,0.011795917,0.012816344,0.94230145
0.0042952993,0.0077479267,0.23484854,0.04928343,0.56338674
0.009964425,0.004138519,0.006073863,0.0059530754,0.5993533
0.051563095,0.16337912,0.008620783,0.17456007,0.8728221
0.026390132,0.0021730142,0.0015618013,0.032326322,0.57230824
0.47157344,0.5886269,0.0014714047,0.009055568,0.94975364
0.124159046,0.74637765,0.00737698,0.13782656,0.9038481
0.0002540435,0.01035839,0.00083037536,0.026918342,0.5795224
0.0004643921,0.0056015123,0.007658877,0.074243724,0.7667911
0.008827674,0.020644654,0.0013139866,0.05643864,0.19912101
0.99907076,0.72258747,0.98731637,0.93422955,0.999022
0.32636434,0.12670334,0.0011076723,0.0007676296,0.816168
0.9993443,0.32814223,0.24023856,0.6920386,0.9835513
0.99974686,0.3037077,0.18429305,0.90163285,0.99683917
0.04118845,0.0661009,0.013366456,0.0101202605,0.56561756
0.004096817,0.0618706,0.0018929447,0.007953435,0.43072045
0.006191121,0.11143438,0.0034959037,0.020324197,0.05003084
0.0070219953,0.40508822,0.0036948572,0.0824772,0.7940437
0.4929905,0.19224045,0.99427575,0.25456747,0.9792388
0.04437416,0.022495292,0.0048068594,0.023298047,0.5933304
0.055083938,0.8319609,0.012866769,0.108956546,0.8898953
0.15514114,0.784271,0.16895801,0.101954594,0.94140303
0.12697978,0.71049654,0.31877226,0.057653252,0.89728624
0.009180325,0.0995152,0.0016691579,0.0019651244,0.84486145
0.0055897366,0.0064502503,0.022385553,0.034699216,0.6073736
0.34780833,0.19897704,0.0076759364,0.010671272,0.92519426
0.009226916,0.41342238,0.00782304,0.050428897,0.17324267
0.0011360715,0.033875383,0.012941835,0.0008339889,0.2011637
0.2387247,0.1102232,0.0071424884,0.006440644,0.9658757
0.9012041,0.13954407,0.0016326857,0.0043138666,0.893973
0.040783048,0.0026097926,0.0038233993,0.0007527468,0.15699221
0.011235276,0.79823,0.006225191,0.022230335,0.78817374
0.009302298,0.015296075,0.025362335,0.01639109,0.92981124
0.2366719,0.5336884,0.017781973,0.43099487,0.97062904
0.009442621,0.5848579,0.021795567,0.028387174,0.8959431
0.0035203157,0.5601662,0.059372276,0.093718946,0.83539456
0.045170262,0.76199764,0.0064651896,0.12127173,0.96451
0.000636317,0.002730867,0.00023607908,0.009234121,0.53118336
0.054887813,0.009971804,0.0057557286,0.1437193,0.9797977
0.0033367625,0.04030603,0.0042055394,0.0046275477,0.39263535
0.3941646,0.14487343,0.0040773693,0.0022123798,0.189138
0.03333569,0.30732152,0.019584436,0.19573686,0.9677606
0.2523495,0.12313073,0.047274772,0.009372093,0.7172475
0.04584372,0.21720594,0.0022208558,0.002068409,0.94341
0.04370548,0.09638983,0.0052990615,0.041004434,0.9847739
0.013633051,0.34900334,0.008457435,0.120292775,0.7754439
0.088894606,0.08560613,0.0023108798,0.0068987696,0.4324974
0.017273137,0.3772967,0.0037576102,0.03771101,0.57555985
0.00027228438,0.0012614537,0.00062390603,0.0020740645,0.048330665
0.026693903,0.67608356,0.054686785,0.023351537,0.8495805
0.0017359969,0.0024726726,0.00013546253,0.032366257,0.33690003
0.00048824743,0.052608646,0.00071782793,0.05456122,0.6183183
0.7877579,0.031448513,0.060489867,0.0027439126,0.79585576
0.63576126,0.054269794,0.0012338414,0.006224176,0.18627308
0.00022714904,0.03792754,0.000100417776,0.0005328445,0.08092797
0.0044040815,0.03189532,0.03172967,0.051745515,0.94015855
0.0013262648,0.014389888,0.0011970572,0.13521923,0.96921456
0.2989008,0.09416084,0.023772718,0.12069902,0.5785577
0.016927343,0.013895046,0.0018740427,0.076892205,0.3816362
0.019147428,0.14826839,0.054511867,0.0030702925,0.66622066
0.03957676,0.6758488,0.016435083,0.015586712,0.46771574
0.00023613017,0.0019131647,0.0075086653,0.0037147012,0.4896354
0.050923496,0.5884789,0.49107414,0.024592869,0.8189278
0.82535374,0.96960425,0.9940749,0.02772211,0.9982486
0.0054253405,0.033719234,0.0007474775,0.099725544,0.068522945
0.009690366,0.20311403,0.0012687849,0.087583214,0.84454995
0.16942276,0.10450849,0.00022693559,0.0038806447,0.33897796
0.19955991,0.37381592,0.0018683911,0.029704945,0.9506279
0.00012480775,0.03850512,0.0011356723,0.002884742,0.6306348
0.009159914,0.07386663,0.039359972,0.1427746,0.9913946
0.0059360415,0.0059892996,0.027499069,0.09621071,0.63918173
0.99954957,0.91245174,0.99907374,0.13613664,0.9991424
0.0009843727,0.005570218,0.0065893093,0.009603146,0.87009794
0.0110305,0.039424844,0.00011973425,0.0047868136,0.5786669
0.014053277,0.029859552,0.008389283,0.0029199743,0.87753546
0.87456375,0.017947096,0.10416906,0.086435415,0.982475
0.9869256,0.039065607,0.0045955842,0.1610469,0.9588109
0.37750486,0.023124842,0.13971436,0.2824977,0.6181342
0.12924004,0.19084118,0.00992014,0.14954658,0.4551057
0.34799302,0.63149065,0.035795514,0.05549198,0.9725219
0.0008019323,0.037884198,0.002070666,0.007193342,0.73035425
0.33167425,0.42143613,0.98295885,0.6712886,0.9953275
0.016705995,0.26914456,0.10404903,0.0075649736,0.97688943
0.0008789963,0.006267063,0.0006000432,0.007905377,0.7755806
0.002087866,0.019062107,0.00011433599,0.014836826,0.5019542
0.0067190863,0.14032118,0.028220208,0.013095893,0.7895843
0.64496505,0.7455357,0.27220863,0.03326649,0.9728271
0.001060802,0.014267427,0.04828557,0.062438533,0.25049958
0.2435264,0.2876258,0.00061149965,0.091736086,0.8186142
0.0022341488,0.1542203,0.0006011772,0.001785586,0.59814954
0.00023295697,0.003874283,0.0003797397,0.0730788,0.15733784
0.9904655,0.0031692085,0.20202145,0.019005364,0.9206834
0.9611909,0.2386143,0.049337063,0.042422198,0.8227804
0.0014525183,0.9173961,0.0113694025,0.30093652,0.9971744
0.015027411,0.40060657,0.3196217,0.06746455,0.58662957
0.24112451,0.025876176,0.14215846,0.015124214,0.9693934
0.82746667,0.065892786,0.00631397,0.009572595,0.9080356
0.0022405055,0.08730893,0.0013024092,0.017883671,0.40499744
0.0031825092,0.0027312448,0.0011228636,0.019113775,0.7616474
0.00040882206,0.001766537,0.0005381051,0.0014170227,0.30663738
0.0004127861,0.010359138,5.634169e-05,0.0036658237,0.01993776
0.09009544,0.19095667,0.038380966,0.00983774,0.9044694
0.46514952,0.02099717,0.004662055,0.0075989477,0.39361817
0.124757506,0.063291386,0.0040442823,0.07379211,0.5693633
0.99899644,0.96317697,0.20915861,0.7285881,0.9648089
0.44887394,0.054228935,0.14890705,0.1641684,0.7255789
0.20929241,0.038699016,0.0017679863,0.009547361,0.8658648
0.12588944,0.012465516,0.00893771,0.022719981,0.22195035
0.0023977754,0.007975977,0.00045954966,0.003246195,0.019697199
0.004896741,0.03630698,0.0135169,0.005953414,0.17464584
0.00043320697,0.022166852,0.000675565,0.0010569023,0.072089635
0.0067766993,0.098633535,0.0010672961,0.0015314551,0.40776926
0.012695622,0.17272595,0.0031394213,0.009037683,0.4920641
0.0028933631,0.14827402,0.0028701895,0.0006013531,0.06988581
0.7624399,0.11740135,0.019590588,0.02292887,0.98166716
0.08978741,0.054877654,0.029027753,0.024296576,0.9883315
0.8430177,0.28003147,0.9670167,0.27622366,0.99061733
0.58310306,0.11681083,0.28002185,0.024118073,0.8697387
0.04328526,0.102801606,0.0035560622,0.07091992,0.47034895
0.00032023506,0.007545663,0.0046760044,0.0012195064,0.26983243
0.041377217,0.22934729,0.0032601433,0.06468451,0.9745283
0.00038389335,0.026017277,0.0001353902,0.0018051243,0.16777544
0.99331903,0.31479967,0.77246755,0.74511886,0.9958276
0.9999293,0.9482114,0.9678707,0.79556245,0.99991536
0.01630705,0.5562412,0.013005956,0.02931877,0.8328327
0.9567354,0.042949133,0.004230615,0.024101386,0.9962058
0.13432214,0.13543123,0.006747619,0.0071124295,0.3683729
0.06828524,0.019815514,0.034663625,0.05912209,0.9551757
0.17815621,0.2638457,0.1539618,0.018638624,0.92643297
0.094611794,0.21161889,0.45387977,0.049788214,0.95666754
0.4582284,0.53699565,0.07144194,0.08644298,0.91052246
0.014971032,0.9039455,0.0019896282,0.020382402,0.84910226
0.09501205,0.43351132,0.033352893,0.009128997,0.11503299
0.19306706,0.01345218,0.0007639927,0.027842673,0.47040704
0.99992275,0.030655015,0.4083247,0.081561685,0.99993646
0.0059105614,0.69304156,0.019819293,0.0028665357,0.3454207
0.0024629415,0.030769315,0.0001547318,0.0030530365,0.662392
0.002148156,0.0015810613,6.725207e-05,0.018309705,0.5368286
0.05271825,0.36159453,0.016953517,0.39174524,0.7161624
0.00076405867,0.030684723,0.0042621894,0.0021812858,0.2312938
0.06822623,0.6373986,0.011008467,0.42423993,0.8395993
0.6585749,0.23158585,0.005980744,0.030701475,0.77244717
0.000539136,0.0028105516,0.0015974477,0.0014559423,0.64112985
0.0008096433,0.0052727237,0.0001231624,0.0066722236,0.76715106
0.0015369033,0.013655224,0.0051250076,0.19998388,0.30749992
0.00027879915,0.03560137,0.001149525,0.011766266,0.30675772
0.00239039,0.33702698,0.010128189,0.022207264,0.8931465
0.023321053,0.74592257,0.015932947,0.0021590414,0.51866126
0.99967074,0.60523856,0.07644816,0.68067366,0.9979073
0.059776805,0.76871854,9.534652e-05,0.012553677,0.9452239
0.031611614,0.41901922,0.3929259,0.036101576,0.9597794
0.027809149,0.7510574,0.024476226,0.056978617,0.57905173
0.0033328861,0.0035138817,0.0002545648,0.0054275584,0.54027563
0.6449443,0.088570565,0.024485696,0.045490213,0.90378755
0.7799875,0.12184341,0.010700934,0.010067132,0.9598302
0.12669024,0.06794083,0.0007694466,0.001530775,0.7297447
0.47811466,0.8934669,0.942762,0.19250327,0.94817334
0.3499411,0.04967054,0.3992126,0.1085919,0.9843784
0.99993646,0.7091821,0.9997352,0.49682766,0.99920565
0.99972194,0.24102868,0.99459165,0.18399861,0.9911547
0.01382323,0.65807694,0.10652318,0.019142283,0.62616605
0.24009693,0.022843275,0.062057666,0.38327968,0.9825044
0.0048528006,0.38407576,0.016759006,0.040662587,0.6709469
0.19368501,0.6805592,0.0134324245,0.002367743,0.90801424
0.024831826,0.43303967,0.0008972252,0.08144008,0.6613899
0.00068268075,0.26416096,0.0048359046,0.116183005,0.7761601
0.0035229598,0.004153547,0.009505258,0.024015758,0.67260617
0.01231054,0.582789,0.02845903,0.0020652146,0.9013599
0.011332982,0.9304141,0.0089133885,0.004367789,0.97082394
0.025430463,0.89926535,0.012243807,0.024591237,0.4947482
0.074253425,0.61307603,0.04171638,0.021377504,0.975069
0.059147686,0.20262197,0.010888524,0.19330594,0.934507
0.0019365057,0.013179166,0.002782114,0.00076995854,0.16287847
0.17559265,0.13495123,0.0016180659,0.002850785,0.26047307
0.07661717,0.05137189,0.010061492,0.0037230598,0.084569804
0.06535974,0.031079752,0.0006061797,0.0025457528,0.46729162
0.000409612,0.013014315,8.3878294e-05,0.019329334,0.45485806
0.026459675,0.107620135,0.004502471,0.0034806414,0.9074421
0.005108768,0.09424225,0.0008252331,0.00047947068,0.10996501
0.027149811,0.33491474,0.16997688,0.18924904,0.93165815
0.25652948,0.34945586,0.3842972,0.019850241,0.5347139
0.26927957,0.024539199,0.045391355,0.02408524,0.9444446
0.071557105,0.43055984,0.10654325,0.056383498,0.7467627
0.14484379,0.20667373,0.99818987,0.038350206,0.9743698
0.9975955,0.7812408,0.9998024,0.896166,0.9908116
0.02839027,0.018917173,0.0006649769,0.019573841,0.35984194
0.00075196533,0.1004979,0.0003705206,0.020996405,0.7129175
0.0017461732,0.015801957,0.012013784,0.006363227,0.34698534
0.021620512,0.12524891,0.003207654,0.010470815,0.30195174
0.18736811,0.09610412,0.00014899582,0.0005618428,0.45606896
0.013443304,0.12127574,0.00035167774,0.0009136221,0.031381395
0.117538616,0.014893555,0.00015246375,0.007579192,0.030505506
0.01275568,0.05067785,0.026623167,0.03219535,0.4719445
0.00013500718,0.0016591784,0.00035913338,0.003926882,0.052349135
0.02191004,0.28936413,0.010012583,0.00029753605,0.08113927
0.012622715,0.0019572927,0.00044788458,0.0015471316,0.65828204
0.0019526557,0.03002299,0.0031591873,0.0074008494,0.19193672
0.00035669695,0.0027868724,0.0024758985,0.004188343,0.14395128
0.008175342,0.16679768,0.0055333013,0.023020962,0.51100403
0.099882,0.14935161,0.0042153755,0.00031939478,0.29612836
0.13183637,0.094245344,0.0127793485,0.015876682,0.35463548
0.32052788,0.18883608,0.3032999,0.010180271,0.4517921
0.6273351,0.7542382,0.99630165,0.067752935,0.9983499
0.060683835,0.5128173,0.0106436545,0.02233717,0.53627837
0.37959233,0.039044224,0.03647929,0.0033921925,0.9439292
0.99716395,0.030810002,0.40271425,0.28674227,0.99361527
0.0028129553,0.020789856,3.3734104e-05,0.009299393,0.4853941
0.026317112,0.6251941,0.009035453,0.01955382,0.9663957
0.09901403,0.15117486,0.0015056223,0.014967339,0.24744806
0.100342095,0.26673755,0.008458571,0.00677172,0.17610906
0.23556001,0.0023140835,0.0017311785,0.0019625179,0.51020676
0.073054925,0.16836439,0.08742715,0.079834804,0.88015103
0.08864099,0.017623706,0.0013211727,0.07568873,0.16818596
0.0005161468,0.01596083,0.0004675729,0.0010003357,0.010845143
0.05952453,0.15185137,0.0067427317,0.006210974,0.7197979
0.013461713,0.091787025,0.08355141,0.057176866,0.6711201
0.00019416983,0.017367208,0.0033196972,0.011685111,0.3508683
0.14984334,0.11949456,0.008798608,0.026904901,0.9226043
0.019242495,0.1873278,0.10272524,0.0036289298,0.68287796
0.8935766,0.6546169,0.012276449,0.0069365026,0.9756821
0.49561775,0.5291589,0.4649185,0.63882864,0.85650045
0.5850428,0.120976135,0.46673015,0.34652734,0.9896088
0.008454808,0.5674376,0.00028824346,0.025679337,0.73042244
0.006995933,0.0070225806,0.00044815813,0.0035709739,0.17212048
0.005663242,0.038163673,0.0005338648,0.03456877,0.97845125
0.0018296178,0.32982978,0.00057675934,0.013136407,0.54794466
0.0023675663,0.0068257004,0.00036301167,0.00684321,0.056052517
0.017136531,0.012834076,0.004969625,0.02204489,0.12429456
0.00088792713,0.036342878,0.000496887,0.0018290248,0.8765176
0.09527108,0.7752231,0.49304417,0.010549,0.9720604
0.3173652,0.3864418,0.1068393,0.003223857,0.9757319
0.03437149,0.13903491,0.0005377639,0.006554424,0.5325287
0.0027111175,0.10921595,0.0035483085,0.0077130757,0.34266788
0.0005735819,0.61901116,0.0017563315,0.0017589234,0.11647283
0.1028968,0.6915185,0.01577529,0.0045817886,0.66306156
0.15952094,0.764756,0.026173564,0.46518472,0.97104543
0.04853131,0.09736685,0.0060547637,0.0487549,0.1562155
0.00835064,0.007047349,0.0040362445,0.007895935,0.08416875
0.09485075,0.012275865,0.00090913347,0.06643863,0.62783396
0.0027816948,0.093895,0.022555074,0.064520694,0.7262727
0.00754936,0.030669749,0.003922492,0.036746334,0.7723765
0.24352717,0.06477434,0.021920852,0.0014459114,0.9924388
0.03596958,0.12207791,0.0201749,0.006388073,0.9749153
0.0036197056,0.23195161,0.0034061375,0.08798581,0.82518274
0.056427974,0.029627891,0.0007267105,0.018132865,0.81066436
0.014440359,0.10803336,0.028346134,0.0037998254,0.94914585
0.15197253,0.3359486,0.0053098924,0.0032217277,0.85958856
0.014415819,0.253846,0.004947664,0.0025008211,0.349608
0.040894903,0.28864646,0.008947206,0.074645646,0.64364433
0.041498445,0.28179416,0.017790945,0.014310271,0.2173633
0.016543934,0.115714945,0.010137802,0.0056670434,0.95807767
0.052555747,0.11231053,0.011101468,0.0049558594,0.4937504
0.4019401,0.32679215,0.003130367,0.007832935,0.7820127
0.99897516,0.09785347,0.88380444,0.053592388,0.92885
0.9725184,0.054391466,0.9673423,0.035988133,0.890504
0.26723933,0.921378,0.034971457,0.029621806,0.7666052
0.0005934779,0.002989291,0.004121394,0.016781673,0.1723402
0.0057614045,0.02195435,0.035422858,0.064255595,0.68070036
0.0014400127,0.17386995,0.15463921,0.024214849,0.3881089
0.007712868,0.50230896,0.009107701,0.018498732,0.11857584
0.06801619,0.36026788,0.016701516,0.017052045,0.08145247
0.018751588,0.12506826,0.0024754838,0.076035924,0.7381856
0.002562082,0.010887744,0.031018024,0.0965214,0.9475641
0.119810216,0.048186973,0.0017011735,0.0202192,0.9329797
0.0018655476,0.034346808,0.024676949,0.017996665,0.82362545
0.005468883,0.002752835,0.0208432,0.0015970705,0.932228
0.07158781,0.4072291,0.064959474,0.52955693,0.8399566
0.05556778,0.9270468,0.0005148226,0.016999057,0.84932303
0.115295626,0.72414255,0.011704852,0.037688125,0.97713804
0.32994577,0.057662394,0.06435743,0.021458022,0.96602696
0.7494955,0.25468263,0.26497522,0.00905378,0.95916605
0.24294104,0.2499279,0.2246393,0.017178673,0.86474484
0.9988601,0.13842915,0.08500585,0.20535317,0.97041446
0.13239697,0.55769295,0.0019141155,0.0040091164,0.8575848
0.11464266,0.6697804,0.0030932394,0.0013127702,0.6570814
0.09897178,0.19476351,0.0012787703,0.0034805222,0.38365227
0.02591853,0.005778268,0.00018770379,0.0017489569,0.12888247
4.120772e-05,0.015062791,0.011137395,0.008120767,0.10591783
0.06393514,0.22531042,0.0127745615,0.02125555,0.95544463
0.0073803016,0.0021190343,0.0006689595,0.0018665246,0.17014155
0.005763642,0.11417331,0.0065803016,0.011788359,0.69386274
0.79734623,0.33709118,0.9724036,0.32434613,0.8170697
0.030682294,0.6039109,0.35961708,0.23775697,0.7081964
0.5378112,0.23782486,0.04533223,0.5581456,0.71716076
0.07404541,0.36132303,0.073289126,0.0645422,0.91953117
0.43673187,0.62040037,0.18394448,0.24835478,0.9928405
0.050570965,0.045733802,0.005709834,0.04180984,0.8966802
0.2265095,0.018587599,0.019893507,0.03192451,0.77076113
0.1095698,0.542044,0.24327815,0.1840693,0.9561872
0.24343982,0.745632,0.9252359,0.15560965,0.6748466
0.9469016,0.25036678,0.93208975,0.16998388,0.8536804
0.032285582,0.010322827,0.00045603001,0.019607943,0.87367785
